name,description,tags,model_dir,courtyard,part_x,part_y,pad_x,pad_y,pad_spacing
R_01005,Resistor SMD 01005,resistor 01005,Resistors_SMD,0.15,0.4,0.2,,,
R_0201,Resistor SMD 0201,resistor 0201,Resistors_SMD,0.15,0.6,0.3,0.3,0.4,0.25
R_0402,Resistor SMD 0402,resistor 0402,Resistors_SMD,0.15,1,0.5,0.4,0.6,0.5
R_0504,Resistor SMD 0504,resistor 0504,Resistors_SMD,0.15,1.27,1.02,,,
R_0603,Resistor SMD 0603,resistor 0603,Resistors_SMD,0.25,1.6,0.8,0.5,0.9,1
R_0805,Resistor SMD 0805,resistor 0805,Resistors_SMD,0.25,2,1.25,0.7,1.3,1.2
R_0907,Resistor SMD 0907,resistor 0907,Resistors_SMD,0.25,2.29,1.78,,,
R_1008,Resistor SMD 1008,resistor 1008,Resistors_SMD,0.25,2.5,2,,,
R_1206,Resistor SMD 1206,resistor 1206,Resistors_SMD,0.25,3.2,1.6,0.9,1.7,2
R_1210,Resistor SMD 1210,resistor 1210,Resistors_SMD,0.25,3.2,2.5,0.9,2.5,2
R_1218,Resistor SMD 1218,resistor 1218,Resistors_SMD,0.25,3.2,4.6,1,4.9,2
R_1411,Resistor SMD 1411,resistor 1411,Resistors_SMD,0.25,3.5,2.8,,,
R_1515,Resistor SMD 1515,resistor 1515,Resistors_SMD,0.25,3.81,3.81,,,
R_1608,Resistor SMD 1608,resistor 1608,Resistors_SMD,0.25,4,2,,,
R_1806,Resistor SMD 1806,resistor 1806,Resistors_SMD,0.25,4.5,1.6,,,
R_1812,Resistor SMD 1812,resistor 1812,Resistors_SMD,0.25,4.5,3.2,1.6,3.5,3.3
R_1825,Resistor SMD 1825,resistor 1825,Resistors_SMD,0.25,4.5,6.4,,,
R_2010,Resistor SMD 2010,resistor 2010,Resistors_SMD,0.25,5,2.5,1,2.5,4
R_2220,Resistor SMD 2220,resistor 2220,Resistors_SMD,0.25,5.7,5,,,
R_2312,Resistor SMD 2312,resistor 2312,Resistors_SMD,0.25,6,3.2,,,
R_2512,Resistor SMD 2512,resistor 2512,Resistors_SMD,0.25,6.3,3.2,,,
R_2515,Resistor SMD 2515,resistor 2515,Resistors_SMD,0.25,6.3,3.81,,,
R_2716,Resistor SMD 2716,resistor 2716,Resistors_SMD,0.25,7,4,,,
R_2824,Resistor SMD 2824,resistor 2824,Resistors_SMD,0.25,7.2,6.1,,,
R_2917,Resistor SMD 2917,resistor 2917,Resistors_SMD,0.25,7.3,4.3,,,
R_2920,Resistor SMD 2920,resistor 2920,Resistors_SMD,0.25,7.4,5,,,
R_3111,Resistor SMD 3111,resistor 3111,Resistors_SMD,0.25,8,2.8,,,
R_3931,Resistor SMD 3931,resistor 3931,Resistors_SMD,0.25,10,8,,,
R_4018,Resistor SMD 4018,resistor 4018,Resistors_SMD,0.25,10.2,4.6,,,
R_4020,Resistor SMD 4020,Resistor 4020,Resistors_SMD,0.25,10.2,5,,,
R_4040,Resistor SMD 4040,resistor 4040,Resistors_SMD,0.25,10.2,10.2,,,
R_4320,Resistor SMD 4320,resistor 4320,Resistors_SMD,0.25,11,5,,,
R_4335,Resistor SMD 4335,resistor 4335,Resistors_SMD,0.25,11,9,,,
R_4349,Resistor SMD 4349,resistor 4349,Resistors_SMD,0.25,11,12.5,,,
R_4424,Resistor SMD 4424,resistor 4424,Resistors_SMD,0.25,11.11,6.1,,,
R_4527,Resistor SMD 4527,resistor 4527,Resistors_SMD,0.25,11.5,7,,,
R_4540,Resistor SMD 4540,resistor 4540,Resistors_SMD,0.25,11.4,10.2,,,
R_4723,Resistor SMD 4723,resistor 4723,Resistors_SMD,0.25,12,6.1,,,
R_4825,Resistor SMD 4825,resistor 4825,Resistors_SMD,0.25,12.2,6.35,,,
R_5550,Resistor SMD 5550,resistor 5550,Resistors_SMD,0.25,14,12.7,,,
R_5727,Resistor SMD 5727,resistor 5727,Resistors_SMD,0.25,14.4,7,,,
R_6145,Resistor SMD 6145,resistor 6145,Resistors_SMD,0.25,15.5,11.5,,,
R_6561,Resistor SMD 6561,resistor 6561,Resistors_SMD,0.25,16.5,15.5,,,
R_7565,Resistor SMD 7565,resistor 7565,Resistors_SMD,0.25,19.1,16.5,,,
